year,googleknowlege_occupation,show,group,raw_guest_list
1999,actor,1/11/99,acting,michael j. fox
1999,comedian,1/12/99,comedy,sandra bernhard
1999,television actress,1/13/99,acting,tracey ullman
1999,film actress,1/14/99,acting,gillian anderson
1999,actor,1/18/99,acting,david alan grier
1999,actor,1/19/99,acting,william baldwin
1999,singer-lyricist,1/20/99,musician,michael stipe
1999,model,1/21/99,media,carmen electra
1999,actor,1/25/99,acting,matthew lillard
1999,stand-up comedian,1/26/99,comedy,david cross
1999,actress,1/27/99,acting,yasmine bleeth
1999,actor,1/28/99,acting,d. l. hughley
1999,television actress,10/18/99,acting,rebecca gayheart
1999,comedian,10/19/99,comedy,steven wright
1999,actress,10/20/99,acting,amy brenneman
1999,actress,10/21/99,acting,melissa gilbert
1999,actress,10/25/99,acting,cathy moriarty
1999,comedian,10/26/99,comedy,louie anderson
1999,actress,10/27/99,acting,sarah michelle gellar
1999,singer-songwriter,10/28/99,musician,melanie c
1999,actor,10/4/99,acting,greg proops
1999,television personality,10/5/99,media,maury povich
1999,actress,10/6/99,acting,brooke shields
1999,comic,10/7/99,comedy,molly shannon
1999,actor,11/1/99,acting,chris o'donnell
1999,actress,11/15/99,acting,christina ricci
1999,singer-songwriter,11/16/99,musician,tori amos
1999,actress,11/17/99,acting,yasmine bleeth
1999,comedian,11/18/99,comedy,bill maher
1999,actress,11/2/99,acting,jennifer love hewitt
1999,rock band,11/29/99,musician,goo goo dolls
1999,musician,11/3/99,musician,dave grohl
1999,film actor,11/30/99,acting,stephen rea
1999,model,11/4/99,media,roshumba williams
1999,television actress,11/8/99,acting,kellie martin
1999,actress,11/9/99,acting,kathy griffin
1999,actress,12/1/99,acting,laura san giacomo
1999,journalist,12/13/99,media,joan lunden
1999,actress,12/14/99,acting,shannen doherty
1999,na,12/15/99,na,greatest millennium special
1999,comedian,12/16/99,comedy,george carlin
1999,actor,12/2/99,acting,michael boatman
1999,actor,12/20/99,acting,david boreanaz
1999,singer-songwriter,12/21/99,musician,jewel
1999,actor,12/6/99,acting,paul rudd
1999,us senator,12/7/99,politician,senator bob dole, part 1
1999,us senator,12/8/99,politician,senator bob dole, part 2
1999,actor,12/9/99,acting,rob schneider
1999,comedian,2/1/99,comedy,george carlin
1999,actress,2/10/99,acting,pamela anderson, natalie raitano, molly culver
1999,actress,2/10/99,acting,pamela anderson, natalie raitano, molly culver
1999,actress,2/10/99,acting,pamela anderson, natalie raitano, molly culver
1999,film actor,2/11/99,acting,daniel stern
1999,actress,2/16/99,acting,melina kanakaredes
1999,comedian,2/17/99,comedy,ed mcmahon
1999,actor,2/18/99,acting,mike judge
1999,actor,2/2/99,acting,dave foley
1999,television actress,2/3/99,acting,kellie martin
1999,actor,2/4/99,acting,jerry o'connell
1999,actress,2/8/99,acting,melissa gilbert
1999,actor,2/9/99,acting,brendan fraser
1999,pianist,3/1/99,musician,john tesh
1999,vocalist,3/10/99,musician,sammy hagar
1999,rock band,3/11/99,musician,hootie & the blowfish, billy crystal
1999,actor,3/11/99,acting,hootie & the blowfish, billy crystal
1999,film actor,3/15/99,acting,peter krause
1999,musician,3/16/99,musician,chris isaak
1999,writer,3/17/99,media,frank decaro's oscar special, john larroquette
1999,actor,3/17/99,acting,frank decaro's oscar special, john larroquette
1999,actor,3/18/99,acting,joseph gordon-levitt
1999,actor,3/2/99,acting,eric mccormack
1999,actress,3/22/99,acting,jennifer grey
1999,stand-up comedian,3/23/99,comedy,norm macdonald
1999,actress,3/24/99,acting,sandra bullock
1999,actress,3/25/99,acting,janine turner
1999,film director,3/29/99,media,ron howard
1999,actress,3/3/99,acting,jeri ryan
1999,actor,3/30/99,acting,omar epps
1999,actress,3/31/99,acting,diane lane
1999,actor,3/4/99,acting,ryan phillippe
1999,actor,3/8/99,acting,ian mckellen
1999,actor,3/9/99,acting,jon voight
1999,actor,4/1/99,acting,stephen baldwin
1999,actor,4/12/99,acting,ernie hudson
1999,film actor,4/13/99,acting,josh charles
1999,actor,4/14/99,acting,jackie chan
1999,actress,4/15/99,acting,marlee matlin
1999,actress,4/19/99,acting,sharon lawrence
1999,actor,4/20/99,acting,rob estes
1999,actress,4/21/99,acting,angelina jolie
1999,stand-up comedian,4/22/99,comedy,david spade
1999,actor,4/26/99,acting,seth green
1999,actress,4/27/99,acting,sheryl lee ralph
1999,singer,4/28/99,musician,chris robinson
1999,comedian,4/29/99,comedy,joy behar
1999,actor,5/10/99,acting,thomas gibson
1999,actress,5/11/99,acting,paula cale
1999,actor,5/12/99,acting,ted danson
1999,actor,5/13/99,acting,esai morales
1999,actress,5/17/99,acting,jane seymour
1999,comedian,5/18/99,comedy,robert schimmel
1999,actress,5/19/99,acting,camryn manheim
1999,actor,5/20/99,acting,ray romano
1999,television actress,5/24/99,acting,patricia richardson
1999,actress,5/25/99,acting,suzanne somers
1999,actress,5/26/99,acting,natalie portman
1999,actor,5/27/99,acting,jamie foxx
1999,actor,6/10/99,acting,timothy hutton
1999,actor,6/14/99,acting,mike myers
1999,actor,6/15/99,acting,rob lowe
1999,actor,6/16/99,acting,mike myers
1999,actress,6/17/99,acting,heather graham
1999,film actress,6/21/99,acting,felicity huffman
1999,television host,6/22/99,media,jimmy kimmel
1999,actor,6/23/99,acting,adam sandler
1999,stand-up comedian,6/24/99,comedy,richard belzer
1999,comedian,6/28/99,comedy,margaret cho
1999,actor,6/29/99,acting,scott wolf
1999,actress,6/30/99,acting,roseanne barr
1999,singer,6/7/99,musician,harry connick jr.
1999,comedian,6/8/99,comedy,caroline rhea
1999,actor,6/9/99,acting,damon wayans
1999,actor,7/1/99,acting,rob schneider
1999,televison actor,7/12/99,acting,adam arkin
1999,muppet,7/13/99,media,miss piggy
1999,actor,7/14/99,acting,john leguizamo
1999,stand-up comedian,7/15/99,comedy,robert klein
1999,actress,7/19/99,acting,christa miller
1999,stand-up comedian,7/20/99,comedy,david brenner
1999,na,7/21/99,na,third anniversary special
1999,actress,7/22/99,acting,joely fisher
1999,singer,7/26/99,musician,donny osmond
1999,actress,7/27/99,acting,wendie malick
1999,vocalist,7/28/99,musician,vince neil
1999,film actress,7/29/99,acting,janeane garofalo
1999,comedian,8/10/99,comedy,dom irrera
1999,actor,8/11/99,acting,pierce brosnan
1999,director,8/12/99,media,eduardo sanchez and daniel myrick
1999,film director,8/12/99,media,eduardo sanchez and daniel myrick
1999,american television personality,8/16/99,media,carson daly
1999,actress,8/17/99,acting,molly ringwald
1999,actress,8/18/99,acting,sarah jessica parker
1999,actor,8/19/99,acting,french stewart
1999,actress,8/2/99,acting,bebe neuwirth
1999,actress,8/23/99,acting,cheryl ladd
1999,rapper,8/24/99,musician,ll cool j
1999,singer-songwriter,8/25/99,musician,dwight yoakam
1999,actress,8/26/99,acting,nia long
1999,actor,8/3/99,acting,garry marshall
1999,na,8/30/99,na,the daily show summer spectacular
1999,actor,8/4/99,acting,denis leary
1999,actor,8/5/99,acting,jeffrey tambor
1999,actor,8/9/99,acting,dave foley
1999,comedian,9/13/99,comedy,elayne boosler
1999,actor,9/14/99,acting,tom green
1999,actor,9/15/99,acting,jason priestley
1999,stand-up comedian,9/16/99,comedy,david cross
1999,actor,9/20/99,acting,andy richter
1999,singer,9/21/99,musician,donny osmond marie osmond
1999,comedian,9/22/99,comedy,dave chappelle
1999,actor,9/23/99,acting,steve zahn
1999,stand-up comedian,9/27/99,comedy,norm macdonald
1999,actress,9/28/99,acting,melissa joan hart
1999,comedian,9/29/99,comedy,richard lewis
1999,actor,9/30/99,acting,bruce mcculloch and mark mckinney
1999,comedian,9/30/99,comedy,bruce mcculloch and mark mckinney
2000,football player,1/10/00,athletics,joe montana
2000,actor,1/11/00,acting,will ferrell
2000,rapper,1/12/00,musician,ice cube
2000,singer-lyricist,1/13/00,musician,michael stipe
2000,actress,1/17/00,acting,penelope ann miller
2000,actor,1/18/00,acting,frankie muniz
2000,actor,1/19/00,acting,freddie prinze jr.
2000,former mayor of cincinatti,1/20/00,politician,jerry springer
2000,film actress,1/24/00,acting,selma blair
2000,film actor,1/25/00,acting,peter krause
2000,model,1/26/00,media,jenny mccarthy
2000,actor,1/27/00,acting,david arquette
2000,actress,1/4/00,acting,cynthia nixon
2000,singer-songwriter,1/5/00,musician,robbie williams
2000,stand-up comedian,1/6/00,comedy,richard belzer
2000,singer-songwriter,10/16/00,musician,alice cooper
2000,actor,10/17/00,acting,christian slater
2000,actor,10/18/00,acting,joshua jackson
2000,actor,10/19/00,acting,brendan fraser
2000,actor,10/2/00,acting,dean cain
2000,actor,10/23/00,acting,kevin james
2000,comedian,10/24/00,comedy,jeff garlin
2000,businesswoman,10/25/00,business,posh spice & baby spice
2000,singer,10/25/00,musician,posh spice & baby spice
2000,actor,10/26/00,acting,steven weber
2000,actor,10/3/00,acting,ashton kutcher
2000,actress,10/30/00,acting,brett butler
2000,journalist,10/31/00,media,david frost
2000,singer-songwriter,10/4/00,musician,jewel
2000,activist,10/5/00,advocacy,ralph nader
2000,media person,11/1/00,media,phil donahue
2000,actor,11/13/00,acting,adam sandler
2000,actress,11/14/00,acting,patricia arquette
2000,actor,11/15/00,acting,adam sandler
2000,actor,11/16/00,acting,rhys ifans
2000,actor,11/2/00,acting,michael richards
2000,na,11/20/00,na,tales of survival with vance degeneres
2000,actor,11/27/00,acting,john goodman
2000,actress,11/28/00,acting,laura san giacomo
2000,film actor,11/29/00,acting,billy campbell
2000,actor,11/30/00,acting,anthony clark
2000,former us senator,11/6/00,politician,arlen specter
2000,american politician,11/7/00,politician,bob dole
2000,stand-up comedian,11/8/00,comedy,richard belzer
2000,filmmaker,11/9/00,media,michael moore
2000,radio personality,12/11/00,media,ira glass
2000,commentator,12/12/00,media,greta van susteren
2000,na,12/13/00,na,no guest
2000,journalist,12/14/00,media,wolf blitzer
2000,actress,12/18/00,acting,marla sokoloff
2000,actress,12/19/00,acting,marisa tomei
2000,actress,12/20/00,acting,jeri ryan
2000,film actress,12/21/00,acting,gillian anderson
2000,actor,12/4/00,acting,thomas gibson
2000,actress,12/5/00,acting,faith ford
2000,actor,12/6/00,acting,chris o'donnell
2000,actor,12/7/00,acting,marlon wayans
2000,actor,2/1/00,acting,jeff bridges
2000,actor,2/1/00,acting,vin diesel
2000,singer-songwriter,2/14/00,musician,moby
2000,actor,2/15/00,acting,dennis farina
2000,actor,2/16/00,acting,matthew perry
2000,comedian,2/17/00,comedy,ed mcmahon
2000,former senator from kansas,2/2/00,politician,focus on new hampshire special, special guest bob dole
2000,actor,2/22/00,acting,snoop dogg
2000,actress,2/23/00,acting,charlize theron
2000,actress,2/24/00,acting,rachael leigh cook
2000,actor,2/28/00,acting,forest whitaker
2000,actor,2/3/00,acting,jason priestly
2000,actor,3/1/00,acting,tobey maguire
2000,stand-up comedian,3/13/00,comedy,eddie izzard
2000,actress,3/14/00,acting,kim delaney
2000,journalist,3/15/00,media,wolf blitzer
2000,comedian,3/16/00,comedy,george wallace
2000,comedian,3/2/00,comedy,ellen degeneres
2000,actor,3/20/00,acting,chris meloni
2000,actress,3/21/00,acting,marla sokoloff
2000,comedian,3/22/00,comedy,eric idle
2000,film actress,3/23/00,acting,leelee sobieski
2000,singer-songwriter,3/27/00,musician,john lydon
2000,actor,3/28/00,acting,joshua jackson
2000,reporter,3/29/00,media,sam donaldson
2000,actor,3/30/00,acting,jimmy smits
2000,actor,3/6/00,acting,neil patrick harris
2000,actor,3/7/00,acting,kevin pollak
2000,american politician,3/8/00,politician,bob dole
2000,comedian,3/9/00,comedy,garry shandling
2000,singer,4/10/00,musician,roger daltrey
2000,writer,4/11/00,media,ben stein
2000,film actor,4/12/00,acting,patrick stewart
2000,actor,4/13/00,acting,david alan grier
2000,actor,4/17/00,acting,stanley tucci
2000,actress,4/18/00,acting,samantha mathis
2000,professional wrestler,4/19/00,athletics,diamond dallas page
2000,former us senator,4/20/00,politician,arlen specter
2000,publisher,4/24/00,media,hugh hefner and bentley twins
2000,model,4/24/00,media,hugh hefner and bentley twins
2000,actress,4/25/00,acting,kirsten dunst
2000,film actress,4/26/00,acting,jeanne tripplehorn
2000,actor,4/27/00,acting,stephen baldwin
2000,film actress,5/1/00,acting,s. epatha merkerson
2000,actor,5/10/00,acting,andy richter
2000,actress,5/11/00,acting,betty white
2000,television actress,5/15/00,acting,tracey ullman
2000,actor,5/16/00,acting,kyle maclachlan
2000,actress,5/17/00,acting,jane leeves
2000,actor,5/18/00,acting,michael rapaport
2000,actor,5/2/00,acting,luke wilson
2000,actress,5/3/00,acting,julie warner
2000,actress,5/30/00,acting,laura kightlinger
2000,actress,5/31/00,acting,thandie newton
2000,actor,5/4/00,acting,eric close
2000,actress,5/8/00,acting,wendie malick
2000,actor,5/9/00,acting,jesse l. martin
2000,reality show contestant,6/1/00,media,sonja christopher
2000,actor,6/13/00,acting,mark curry
2000,television host,6/14/00,media,jimmy kimmel & adam carolla
2000,comedian,6/14/00,comedy,jimmy kimmel & adam carolla
2000,actress,6/15/00,acting,julie brown
2000,writer,6/19/00,media,heather donahue
2000,former press secretary,6/20/00,political aide,joe lockhart
2000,actor,6/21/00,acting,freddie prinze jr.
2000,actress,6/22/00,acting,alicia silverstone
2000,comic,6/26/00,comedy,cheri oteri
2000,game show host,6/27/00,media,jeff probst
2000,guitarist,6/28/00,musician,richie sambora
2000,actor,6/29/00,acting,john c. reilly
