movie,bechdel,peirce,landau,feldman,villareal,hagen,ko,villarobos,waithe,koeze_dottle,uphold,white,rees-davies
bad moms,0,0,0,1,0,0,0,1,0,0,1,1,1
hidden figures,0,0,0,0,0,1,0,1,0,1,1,1,1
independence day: resurgence,0,0,1,0,0,1,0,1,0,0,1,1,1
finding dory,0,0,1,0,0,0,1,1,1,1,1,1,0
ghostbusters,0,0,0,0,0,1,0,1,1,1,1,1,1
allegiant,0,0,1,0,0,1,0,1,1,1,1,1,1
arrival,0,0,1,0,0,1,1,1,1,0,1,1,1
ice age: collision course,0,1,0,1,1,1,0,1,1,0,1,1,0
kung fu panda 3,0,1,0,0,1,1,0,1,1,1,1,1,0
miss peregrine's home for peculiar children,0,0,0,0,0,1,1,1,1,1,1,1,1
sing,0,0,1,1,1,1,0,1,1,0,1,1,0
the boss,0,0,0,0,1,1,1,1,1,0,1,1,1
the girl on the train,0,0,1,0,0,1,1,1,1,0,1,1,1
boo! a madea halloween,0,0,1,1,1,1,0,1,0,0,1,1,1
alice through the looking glass,0,0,1,0,1,1,1,1,1,1,1,1,0
fantastic beasts and where to find them,0,0,1,1,0,1,0,1,1,1,1,1,1
la la land,0,0,1,1,0,1,1,1,1,0,1,1,1
now you see me 2,1,0,0,1,0,1,0,1,1,1,1,1,1
passengers,1,0,0,1,0,1,1,1,1,0,1,1,1
pete's dragon,0,1,1,0,0,1,1,1,1,1,1,1,0
sausage party,0,0,1,1,1,1,0,1,1,1,1,1,0
storks,1,0,1,1,0,1,1,1,1,0,1,1,0
suicide squad,0,0,1,1,1,1,0,1,1,1,1,1,0
the conjuring 2,0,0,1,1,0,1,1,1,1,0,1,1,1
the purge: election year,0,0,1,1,0,1,0,1,1,1,1,1,1
x-men: apocalypse,0,0,0,1,0,1,1,1,1,1,1,1,1
10 cloverfield lane,0,0,1,1,0,1,1,1,1,1,1,1,1
batman v superman: dawn of justice,1,0,1,1,0,1,1,1,1,1,1,1,0
captain america: civil war,0,0,1,1,1,1,1,1,1,1,1,1,0
central intelligence,1,0,1,1,1,1,0,1,0,1,1,1,1
don't breathe,0,0,1,1,1,1,1,1,1,0,1,1,1
hacksaw ridge,1,1,0,1,0,1,1,1,1,1,1,1,0
lights out,0,0,1,1,1,1,1,1,1,0,1,1,1
moana,0,0,1,1,1,1,0,1,1,1,1,1,1
ride along 2,1,0,0,1,1,1,0,1,1,1,1,1,1
star trek beyond,1,0,1,1,1,1,0,1,1,1,1,1,0
sully,1,1,0,1,0,1,1,1,1,0,1,1,1
teenage mutant ninja turtles: out of the shadows,0,1,0,1,0,1,1,1,1,1,1,1,1
the angry birds movie,1,1,0,1,0,1,0,1,1,1,1,1,1
the magnificent seven,1,0,0,1,0,1,1,1,1,1,1,1,1
trolls,0,0,1,1,1,1,1,1,1,0,1,1,1
zootopia,0,0,1,1,0,1,1,1,1,1,1,1,1
jason bourne,1,0,1,1,1,1,1,1,1,1,1,1,0
rogue one,0,0,1,1,1,1,1,1,1,1,1,1,1
the accountant,1,0,1,1,1,1,0,1,1,1,1,1,1
the jungle book,1,1,0,1,1,1,0,1,1,1,1,1,1
the legend of tarzan,1,0,1,1,0,1,1,1,1,1,1,1,1
deadpool,1,1,1,1,1,1,1,1,1,0,1,1,1
doctor strange,1,1,1,1,1,1,1,1,1,1,1,1,0
the secret life of pets,1,0,1,1,1,1,1,1,1,1,1,1,1
