airline,avail_seat_km_per_week,incidents_85_99,fatal_accidents_85_99,fatalities_85_99,incidents_00_14,fatal_accidents_00_14,fatalities_00_14
aer lingus,320906734,2,0,0,0,0,0
aeroflot*,1197672318,76,14,128,6,1,88
aerolineas argentinas,385803648,6,0,0,1,0,0
aeromexico*,596871813,3,1,64,5,0,0
air canada,1865253802,2,0,0,2,0,0
air france,3004002661,14,4,79,6,2,337
air india*,869253552,2,1,329,4,1,158
air new zealand*,710174817,3,0,0,5,1,7
alaska airlines*,965346773,5,0,0,5,1,88
alitalia,698012498,7,2,50,4,0,0
all nippon airways,1841234177,3,1,1,7,0,0
american*,5228357340,21,5,101,17,3,416
austrian airlines,358239823,1,0,0,1,0,0
avianca,396922563,5,3,323,0,0,0
british airways*,3179760952,4,0,0,6,0,0
cathay pacific*,2582459303,0,0,0,2,0,0
china airlines,813216487,12,6,535,2,1,225
condor,417982610,2,1,16,0,0,0
copa,550491507,3,1,47,0,0,0
delta / northwest*,6525658894,24,12,407,24,2,51
egyptair,557699891,8,3,282,4,1,14
el al,335448023,1,1,4,1,0,0
ethiopian airlines,488560643,25,5,167,5,2,92
finnair,506464950,1,0,0,0,0,0
garuda indonesia,613356665,10,3,260,4,2,22
gulf air,301379762,1,0,0,3,1,143
hawaiian airlines,493877795,0,0,0,1,0,0
iberia,1173203126,4,1,148,5,0,0
japan airlines,1574217531,3,1,520,0,0,0
kenya airways,277414794,2,0,0,2,2,283
klm*,1874561773,7,1,3,1,0,0
korean air,1734522605,12,5,425,1,0,0
lan airlines,1001965891,3,2,21,0,0,0
lufthansa*,3426529504,6,1,2,3,0,0
malaysia airlines,1039171244,3,1,34,3,2,537
pakistan international,348563137,8,3,234,10,2,46
philippine airlines,413007158,7,4,74,2,1,1
qantas*,1917428984,1,0,0,5,0,0
royal air maroc,295705339,5,3,51,3,0,0
sas*,682971852,5,0,0,6,1,110
saudi arabian,859673901,7,2,313,11,0,0
singapore airlines,2376857805,2,2,6,2,1,83
south african,651502442,2,1,159,1,0,0
southwest airlines,3276525770,1,0,0,8,0,0
sri lankan / airlanka,325582976,2,1,14,4,0,0
swiss*,792601299,2,1,229,3,0,0
taca,259373346,3,1,3,1,1,3
tam,1509195646,8,3,98,7,2,188
tap - air portugal,619130754,0,0,0,0,0,0
thai airways,1702802250,8,4,308,2,1,1
turkish airlines,1946098294,8,3,64,8,2,84
united / continental*,7139291291,19,8,319,14,2,109
us airways / america west*,2455687887,16,7,224,11,2,23
vietnam airlines,625084918,7,3,171,1,0,0
virgin atlantic,1005248585,1,0,0,0,0,0
xiamen airlines,430462962,9,1,82,2,0,0
