competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent
100 grand,1,0,1,0,0,1,0,1,0,.73199999,.86000001,66.971725
3 musketeers,1,0,0,0,1,0,0,1,0,.60399997,.51099998,67.602936
one dime,0,0,0,0,0,0,0,0,0,.011,.116,32.261086
one quarter,0,0,0,0,0,0,0,0,0,.011,.51099998,46.116505
air heads,0,1,0,0,0,0,0,0,0,.90600002,.51099998,52.341465
almond joy,1,0,0,1,0,0,0,1,0,.465,.76700002,50.347546
baby ruth,1,0,1,1,1,0,0,1,0,.60399997,.76700002,56.914547
boston baked beans,0,0,0,1,0,0,0,0,1,.31299999,.51099998,23.417824
candy corn,0,0,0,0,0,0,0,0,1,.90600002,.32499999,38.010963
caramel apple pops,0,1,1,0,0,0,0,0,0,.60399997,.32499999,34.517681
charleston chew,1,0,0,0,1,0,0,1,0,.60399997,.51099998,38.975037
chewey lemonhead fruit mix,0,1,0,0,0,0,0,0,1,.73199999,.51099998,36.017628
chiclets,0,1,0,0,0,0,0,0,1,.046,.32499999,24.524988
dots,0,1,0,0,0,0,0,0,1,.73199999,.51099998,42.272076
dum dums,0,1,0,0,0,0,1,0,0,.73199999,.034000002,39.460556
fruit chews,0,1,0,0,0,0,0,0,1,.127,.034000002,43.088924
fun dip,0,1,0,0,0,0,1,0,0,.73199999,.32499999,39.185505
gobstopper,0,1,0,0,0,0,1,0,1,.90600002,.45300001,46.783348
haribo gold bears,0,1,0,0,0,0,0,0,1,.465,.465,57.11974
haribo happy cola,0,0,0,0,0,0,0,0,1,.465,.465,34.158958
haribo sour bears,0,1,0,0,0,0,0,0,1,.465,.465,51.41243
haribo twin snakes,0,1,0,0,0,0,0,0,1,.465,.465,42.178772
hersheys kisses,1,0,0,0,0,0,0,0,1,.127,.093000002,55.375454
hersheys krackel,1,0,0,0,0,1,0,1,0,.43000001,.91799998,62.284481
hersheys milk chocolate,1,0,0,0,0,0,0,1,0,.43000001,.91799998,56.490501
hersheys special dark,1,0,0,0,0,0,0,1,0,.43000001,.91799998,59.236122
jawbusters,0,1,0,0,0,0,1,0,1,.093000002,.51099998,28.127439
junior mints,1,0,0,0,0,0,0,0,1,.197,.51099998,57.21925
kit kat,1,0,0,0,0,1,0,1,0,.31299999,.51099998,76.7686
laffy taffy,0,1,0,0,0,0,0,0,0,.22,.116,41.389557
lemonhead,0,1,0,0,0,0,1,0,0,.046,.104,39.141056
lifesavers big ring gummies,0,1,0,0,0,0,0,0,0,.26699999,.27900001,52.911392
peanut butter m&ms,1,0,0,1,0,0,0,0,1,.82499999,.65100002,71.46505
m&ms,1,0,0,0,0,0,0,0,1,.82499999,.65100002,66.574585
mike & ike,0,1,0,0,0,0,0,0,1,.87199998,.32499999,46.411716
milk duds,1,0,1,0,0,0,0,0,1,.30199999,.51099998,55.064072
milky way,1,0,1,0,1,0,0,1,0,.60399997,.65100002,73.099556
milky way midnight,1,0,1,0,1,0,0,1,0,.73199999,.44100001,60.800701
milky way simply caramel,1,0,1,0,0,0,0,1,0,.96499997,.86000001,64.35334
mounds,1,0,0,0,0,0,0,1,0,.31299999,.86000001,47.829754
