page_id,name,urlslug,id,align,eye,hair,sex,gsm,alive,appearances,first appearance,year
1678,spider-man (peter parker),\/spider-man_(peter_parker),secret identity,good characters,hazel eyes,brown hair,male characters,,living characters,4043,aug-62,1962
7139,captain america (steven rogers),\/captain_america_(steven_rogers),public identity,good characters,blue eyes,white hair,male characters,,living characters,3360,mar-41,1941
64786,wolverine (james \logan\ howlett),\/wolverine_(james_%22logan%22_howlett),public identity,neutral characters,blue eyes,black hair,male characters,,living characters,3061,oct-74,1974
1868,iron man (anthony \tony\ stark),\/iron_man_(anthony_%22tony%22_stark),public identity,good characters,blue eyes,black hair,male characters,,living characters,2961,mar-63,1963
2460,thor (thor odinson),\/thor_(thor_odinson),no dual identity,good characters,blue eyes,blond hair,male characters,,living characters,2258,nov-50,1950
2458,benjamin grimm (earth-616),\/benjamin_grimm_(earth-616),public identity,good characters,blue eyes,no hair,male characters,,living characters,2255,nov-61,1961
2166,reed richards (earth-616),\/reed_richards_(earth-616),public identity,good characters,brown eyes,brown hair,male characters,,living characters,2072,nov-61,1961
1833,hulk (robert bruce banner),\/hulk_(robert_bruce_banner),public identity,good characters,brown eyes,brown hair,male characters,,living characters,2017,may-62,1962
29481,scott summers (earth-616),\/scott_summers_(earth-616),public identity,neutral characters,brown eyes,brown hair,male characters,,living characters,1955,sep-63,1963
1837,jonathan storm (earth-616),\/jonathan_storm_(earth-616),public identity,good characters,blue eyes,blond hair,male characters,,living characters,1934,nov-61,1961
15725,henry mccoy (earth-616),\/henry_mccoy_(earth-616),public identity,good characters,blue eyes,blue hair,male characters,,living characters,1825,sep-63,1963
1863,susan storm (earth-616),\/susan_storm_(earth-616),public identity,good characters,blue eyes,blond hair,female characters,,living characters,1713,nov-61,1961
7823,namor mckenzie (earth-616),\/namor_mckenzie_(earth-616),no dual identity,neutral characters,green eyes,black hair,male characters,,living characters,1528,,
2614,ororo munroe (earth-616),\/ororo_munroe_(earth-616),public identity,good characters,blue eyes,white hair,female characters,,living characters,1512,may-75,1975
1803,clinton barton (earth-616),\/clinton_barton_(earth-616),public identity,good characters,blue eyes,blond hair,male characters,,living characters,1394,sep-64,1964
1396,matthew murdock (earth-616),\/matthew_murdock_(earth-616),public identity,good characters,blue eyes,red hair,male characters,,living characters,1338,apr-64,1964
55534,stephen strange (earth-616),\/stephen_strange_(earth-616),public identity,good characters,grey eyes,black hair,male characters,,living characters,1307,jul-63,1963
1978,mary jane watson (earth-616),\/mary_jane_watson_(earth-616),no dual identity,good characters,green eyes,red hair,female characters,,living characters,1304,jun-65,1965
1872,john jonah jameson (earth-616),\/john_jonah_jameson_(earth-616),no dual identity,neutral characters,blue eyes,black hair,male characters,,living characters,1266,mar-63,1963
35350,robert drake (earth-616),\/robert_drake_(earth-616),secret identity,good characters,brown eyes,brown hair,male characters,,living characters,1265,sep-63,1963
1557,henry pym (earth-616),\/henry_pym_(earth-616),public identity,good characters,blue eyes,blond hair,male characters,,living characters,1237,jan-62,1962
65255,charles xavier (earth-616),\/charles_xavier_(earth-616),public identity,good characters,blue eyes,bald,male characters,,deceased characters,1233,sep-63,1963
1073,warren worthington iii (earth-616),\/warren_worthington_iii_(earth-616),public identity,good characters,blue eyes,blond hair,male characters,,living characters,1230,sep-63,1963
1346,piotr rasputin (earth-616),\/piotr_rasputin_(earth-616),secret identity,good characters,blue eyes,black hair,male characters,,living characters,1162,may-75,1975
2512,wanda maximoff (earth-616),\/wanda_maximoff_(earth-616),public identity,good characters,green eyes,brown hair,female characters,,living characters,1161,mar-64,1964
1671,nicholas fury (earth-616),\/nicholas_fury_(earth-616),no dual identity,neutral characters,brown eyes,brown hair,male characters,,living characters,1137,may-63,1963
1976,janet van dyne (earth-616),\/janet_van_dyne_(earth-616),public identity,good characters,blue eyes,auburn hair,female characters,,living characters,1120,jun-63,1963
65219,jean grey (earth-616),\/jean_grey_(earth-616),public identity,good characters,green eyes,red hair,female characters,,deceased characters,1107,sep-63,1963
6545,natalia romanova (earth-616),\/natalia_romanova_(earth-616),public identity,good characters,green eyes,red hair,female characters,bisexual characters,living characters,1050,apr-64,1964
