server,seconds_before_next_point,day,opponent,game_score,set,game
nicolas almagro,22,28-may-15,rafael nadal,15-30,1,0-0
nicolas almagro,19,28-may-15,rafael nadal,15-40,1,0-0
nicolas almagro,23,28-may-15,rafael nadal,30-40,1,0-0
nicolas almagro,24,28-may-15,rafael nadal,deuce,1,0-0
nicolas almagro,19,28-may-15,rafael nadal,ad-in,1,0-0
pablo andujar,34,28-may-15,philipp kohlschreiber,40-30,5,2-4
bernard tomic,21,28-may-15,thanasi kokkinakis,30-40,3,0-1
bernard tomic,17,28-may-15,thanasi kokkinakis,deuce,3,0-1
bernard tomic,17,28-may-15,thanasi kokkinakis,ad-in,3,0-1
rafael nadal,34,28-may-15,nicolas almagro,15-30,1,0-1
rafael nadal,29,28-may-15,nicolas almagro,30-30,1,0-1
rafael nadal,33,28-may-15,nicolas almagro,30-40,1,0-1
rafael nadal,23,28-may-15,nicolas almagro,deuce,1,0-1
rafael nadal,27,28-may-15,nicolas almagro,ad-in,1,0-1
pablo andujar,26,28-may-15,philipp kohlschreiber,15-30,5,4-4
pablo andujar,24,28-may-15,philipp kohlschreiber,30-30,5,4-4
pablo andujar,32,28-may-15,philipp kohlschreiber,40-30,5,4-4
bernard tomic,21,28-may-15,thanasi kokkinakis,15-40,3,1-2
bernard tomic,15,28-may-15,thanasi kokkinakis,30-40,3,1-2
bernard tomic,18,28-may-15,thanasi kokkinakis,deuce,3,1-2
bernard tomic,37,28-may-15,thanasi kokkinakis,ad-out,3,1-2
pablo andujar,38,28-may-15,philipp kohlschreiber,deuce,5,4-4
pablo andujar,31,28-may-15,philipp kohlschreiber,ad-in,5,4-4
nicolas almagro,22,28-may-15,rafael nadal,15-0,1,1-3
nicolas almagro,24,28-may-15,rafael nadal,30-0,1,1-3
nicolas almagro,22,28-may-15,rafael nadal,40-0,1,1-3
nicolas almagro,20,28-may-15,rafael nadal,30-40,2,3-5
andrey kuznetsov,16,28-may-15,jurgen melzer,15-0,3,2-2
andrey kuznetsov,19,28-may-15,jurgen melzer,30-0,3,2-2
andrey kuznetsov,20,28-may-15,jurgen melzer,30-15,3,2-2
andrey kuznetsov,15,28-may-15,jurgen melzer,40-15,3,2-2
rafael nadal,27,28-may-15,nicolas almagro,40-0,3,5-1
andy murray,29,28-may-15,joao sousa,30-0,1,2-1
andy murray,20,28-may-15,joao sousa,40-0,1,2-1
borna coric,28,28-may-15,tommy robredo,ad-out,1,5-4
borna coric,25,28-may-15,tommy robredo,deuce,1,5-4
borna coric,29,28-may-15,tommy robredo,ad-out,1,5-4
andy murray,18,28-may-15,joao sousa,40-0,3,0-1
andy murray,20,28-may-15,joao sousa,40-15,3,0-1
andy murray,23,28-may-15,joao sousa,40-30,3,0-1
andy murray,22,28-may-15,joao sousa,deuce,3,0-1
novak djokovic,16,28-may-15,gilles muller,15-0,3,2-1
